g,h,value
agr,costau,3.3251292440952964
agr,sierrau,2.376734525626734
agr,selvau,1.210564896491796
agr,lima,6.638929657411557
agr,costar,0.7229187980559206
agr,sierrar,1.9477638730995628
agr,selvar,0.7477058272552127
fsh,costau,0.7249379411549315
fsh,sierrau,0.5181708460623996
fsh,selvau,0.2639249061538266
fsh,lima,1.4474059935753933
fsh,costar,0.15760929173369512
fsh,sierrar,0.4246475334840503
fsh,selvar,0.16301330962171892
min,costau,0.7537225030874625
min,sierrau,0.5997528416126366
min,selvau,0.22366010867503608
min,lima,1.995017255659435
min,costar,0.08794296592091212
min,sierrar,0.22806799308459375
min,selvar,0.08262340395992436
foo,costau,5.758887065605929
foo,sierrau,4.11633494918027
foo,selvau,2.096612195409564
foo,lima,11.498153403037852
foo,costar,1.2520438785952677
foo,sierrar,3.3733883263534605
foo,selvar,1.2949732480638636
txt,costau,2.515945309287558
txt,sierrau,2.1383823731955944
txt,selvau,0.857421250717578
txt,lima,3.992960086981829
txt,costar,0.38024640643351654
txt,sierrar,1.5617356887298408
txt,selvar,0.479752534610857
mac,costau,2.1154755649311356
mac,sierrau,1.47610865049042
mac,selvau,0.6533336710149669
mac,lima,5.3546239141467025
mac,costar,0.3043280641121578
mac,sierrar,0.8398242165519717
mac,selvar,0.3417184860836839
chm,costau,1.3812723685987094
chm,sierrau,1.099107462911934
chm,selvau,0.40987966632961575
chm,lima,3.6560699711525477
chm,costar,0.1611643387872659
chm,sierrar,0.41795755827785774
chm,selvar,0.15141570594207074
con,costau,0.03845414074267313
con,sierrau,0.030598768230639162
con,selvau,0.011410906881883795
con,lima,0.10178371220036024
con,costar,0.004486758953060525
con,sierrar,0.011635792574918353
con,selvar,0.0042153604164648145
trn,costau,1.8627937731380375
trn,sierrau,1.6808870354379137
trn,selvau,0.6078024640176473
trn,lima,6.7319336089514925
trn,costar,0.1431019383198732
trn,sierrar,0.46485927680628786
trn,selvar,0.14701229322618456
hea,costau,1.073807619685387
hea,sierrau,0.7933278443042789
hea,selvau,0.27943372375127784
hea,lima,2.742416472409535
hea,costar,0.17203494007860257
hea,sierrar,0.35942222736075974
hea,selvar,0.14399569743456486
edu,costau,1.8327133194570842
edu,sierrau,1.5705904545219513
edu,selvau,0.4319881094948468
edu,lima,6.1118805104561025
edu,costar,0.11404653613475552
edu,sierrar,0.32847239583387544
edu,selvar,0.09800920304011705
gov,costau,0.15393235529714755
gov,sierrau,0.10388787170119296
gov,selvau,0.034843035025788026
gov,lima,0.3186194459170746
gov,costar,0.02563527549742521
gov,sierrar,0.038874991694425855
gov,selvar,0.01887582486694586
srv,costau,3.1907681708693962
srv,sierrau,2.538961314763892
srv,selvau,0.9468306345242332
srv,lima,8.445598391474144
srv,costar,0.37229300619638894
srv,sierrar,0.9654907345176335
srv,selvar,0.349773459654314
htl,costau,3.0357935608463027
htl,sierrau,2.578534565165062
htl,selvau,0.9833107198260909
htl,lima,7.3115580032254375
htl,costar,0.3489894748505022
htl,sierrar,1.2098767208244845
htl,selvar,0.37607457673751477
