uni,h,value
agr,costau,0.13523062897093882
agr,sierrau,0.21997225442356608
agr,selvau,0.08622666453294014
agr,lima,0.19658439860600288
agr,costar,0.054984950277554255
agr,sierrar,0.3790161539170456
agr,selvar,0.09993822323587387
fsh,costau,0.02605445198846947
fsh,sierrau,0.042381349441965886
fsh,selvau,0.0166130151748547
fsh,lima,0.03787528619912688
fsh,costar,0.010593774191516818
fsh,sierrar,0.07302382796140197
fsh,selvar,0.019254777256649352
foo,costau,0.3642262419551785
foo,sierrau,0.5924668706548843
foo,selvau,0.2322403897560208
foo,lima,0.5294747001928862
foo,costar,0.14809486546120962
foo,sierrar,1.020831082662328
foo,selvar,0.26917070307128765
txt,costau,0.011581115167105248
txt,sierrau,0.00561236445265258
txt,selvau,0.0050677853111906306
txt,lima,0.010550565916081878
txt,costar,0.0004100822606116056
txt,sierrar,0.0009556951774525722
txt,selvar,0.001473333758131768
mac,costau,0.024004289609478
mac,sierrau,0.024202578908641113
mac,selvau,0.009682116012486882
mac,lima,0.02388977999683134
mac,costar,0.005390364466445729
mac,sierrar,0.010407530622191505
mac,selvar,0.006950997052887735
trn,costau,0.0029797897200304524
trn,sierrau,0.0009876432683041596
trn,selvau,9.525527268025713e-05
trn,lima,0.00221421666631238
trn,costar,2.1185233656092018e-05
trn,sierrar,0.00038721677226196115
trn,selvar,0.00018100716931950317
hea,costau,0.0033538570800542493
hea,sierrau,0.0018651664751635807
hea,selvau,0.0012356741656030287
hea,lima,0.0025138540461700025
hea,costar,0.0006625899494542197
hea,sierrar,0.0008293805796972681
hea,selvar,0.0004363766794523292
edu,costau,0.002098472998450748
edu,sierrau,0.003507963549575922
edu,selvau,0.0007741134794094508
edu,lima,0.0035129096673571824
edu,costar,0.00011678278551652054
edu,sierrar,0.000795100830510514
edu,selvar,0.00020977575044720778
htl,costau,1.4017667700658671
htl,sierrau,1.1254965587593226
htl,selvau,0.41604756863969045
htl,lima,6.516520474746125
htl,costar,0.14175003546280918
htl,sierrar,0.3096961705415109
htl,selvar,0.09795516830928216
