f,s,value
urbusk,agr,0.8417668680413786
urbusk,fsh,0.1610186009659046
urbusk,min,0.626182140515982
urbusk,foo,0.2931493441590348
urbusk,txt,0.24198172925435474
urbusk,mac,0.42760478113934725
urbusk,chm,0.09300267055682732
urbusk,con,0.6403392603574757
urbusk,com,0.5824982374955303
urbusk,trn,0.6132404977855268
urbusk,hea,0.0670578896509982
urbusk,edu,0.012973875956407225
urbusk,gov,0.513699604835729
urbusk,srv,0.7006733085185208
urbusk,htl,0.7140893616852759
urbskl,agr,0.8674341071495714
urbskl,fsh,0.0790565304417598
urbskl,min,0.021906479546496594
urbskl,foo,0.12139670811691476
urbskl,txt,0.19291623525315338
urbskl,mac,0.6664589711355625
urbskl,chm,0.015392152707449822
urbskl,con,0.4318344264414947
urbskl,com,3.8458830347888493
urbskl,trn,1.3506799443383444
urbskl,hea,0.07007493086055329
urbskl,edu,8.716444123924945e-05
urbskl,srv,0.585879826678061
urbskl,htl,0.8787025511437433
urbsusk,agr,0.6406902003137216
urbsusk,fsh,0.37419112430712553
urbsusk,min,5.1499839575020845
urbsusk,foo,2.128043312231697
urbsusk,txt,1.2729744237272327
urbsusk,mac,2.7343621039711934
urbsusk,chm,1.7736946310439097
urbsusk,con,2.6501663756665828
urbsusk,com,4.594693458749873
urbsusk,trn,3.918108601872195
urbsusk,hea,1.6600528235735046
urbsusk,edu,1.6581917895826828
urbsusk,gov,12.194938954967688
urbsusk,srv,8.00149860237362
urbsusk,htl,1.4044069435396214
urbsskl,agr,0.5284480773813003
urbsskl,fsh,0.020754910155468233
urbsskl,min,0.04949978140983166
urbsskl,foo,0.21026188593217865
urbsskl,txt,0.4388216074075746
urbsskl,mac,0.9198818580633815
urbsskl,chm,0.40075270372155347
urbsskl,con,1.1478629696453935
urbsskl,com,5.183779594832724
urbsskl,trn,2.7399763855364285
urbsskl,hea,0.8130309451569999
urbsskl,edu,0.22035915967532824
urbsskl,srv,5.47154388510591
urbsskl,htl,1.0309722466991864
rurusk,agr,5.798852515883547
rurusk,fsh,0.029727033446761728
rurusk,min,0.28364418337702324
rurusk,foo,0.06621688523358056
rurusk,txt,0.08657346687212322
rurusk,mac,0.15413354811825591
rurusk,chm,0.0068706102059473235
rurusk,con,0.16991335729326768
rurusk,com,0.6846162766211312
rurusk,trn,0.21385740066220443
rurusk,hea,0.013748744430284805
rurusk,edu,0.0001061526680061942
rurusk,gov,0.23146171133632024
rurusk,srv,0.10430988131373373
rurusk,htl,0.23158799826913
rurskl,agr,1.0867600757057376
rurskl,fsh,0.02354259599140893
rurskl,min,0.20031407829330874
rurskl,foo,0.09331611890784777
rurskl,txt,0.02932736823653907
rurskl,mac,0.04936452452066286
rurskl,chm,0.001101328402170993
rurskl,con,0.08761748425787357
rurskl,com,0.36599564236579396
rurskl,trn,0.257424638547434
rurskl,hea,0.039136477830986824
rurskl,edu,0.014892909443472222
rurskl,gov,1.3317200007309793
rurskl,srv,0.30646802634205067
rurskl,htl,0.08925372386243213
cap,agr,9.636530971524744
cap,fsh,2.6881236686915715
cap,min,13.048253059355275
cap,foo,6.318528257418747
cap,txt,3.1709693292490226
cap,mac,5.238058149051597
cap,chm,3.7223105113621413
cap,con,6.268456334337913
cap,com,18.5067280591461
cap,trn,9.307171283257869
cap,hea,1.1885605244966722
cap,edu,5.665759892232865
cap,gov,0.098744848129282
cap,srv,19.618838629668108
cap,htl,12.17002103080061
